STEP 0; UNIT Opportunity; POSITION [13,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 9; UNIT Opportunity; POSITION [15,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 9; UNIT Perseverance; POSITION [7,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 10; UNIT Opportunity; POSITION [15,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 10; UNIT Perseverance; POSITION [6,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 11; UNIT Opportunity; POSITION [16,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 11; UNIT Perseverance; POSITION [7,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 12; UNIT Opportunity; POSITION [16,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 12; UNIT Perseverance; POSITION [8,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 13; UNIT Opportunity; POSITION [16,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 13; UNIT Perseverance; POSITION [9,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 14; UNIT Opportunity; POSITION [17,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 14; UNIT Perseverance; POSITION [9,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 15; UNIT Opportunity; POSITION [16,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 15; UNIT Perseverance; POSITION [10,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 16; UNIT Opportunity; POSITION [16,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 16; UNIT Perseverance; POSITION [11,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 17; UNIT Opportunity; POSITION [17,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 17; UNIT Perseverance; POSITION [11,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 18; UNIT Opportunity; POSITION [17,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 18; UNIT Perseverance; POSITION [10,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 19; UNIT Opportunity; POSITION [16,10]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 19; UNIT Perseverance; POSITION [9,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 20; UNIT Opportunity; POSITION [15,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 20; UNIT Perseverance; POSITION [10,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 21; UNIT Opportunity; POSITION [15,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 21; UNIT Perseverance; POSITION [11,11]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 22; UNIT Opportunity; POSITION [16,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 22; UNIT Perseverance; POSITION [12,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 23; UNIT Opportunity; POSITION [17,9]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 23; UNIT Perseverance; POSITION [11,12]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 24; UNIT Opportunity; POSITION [17,8]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 24; UNIT Perseverance; POSITION [11,13]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 25; UNIT Opportunity; POSITION [17,7]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 25; UNIT Perseverance; POSITION [11,14]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 26; UNIT Opportunity; POSITION [18,8]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 26; UNIT Perseverance; POSITION [11,15]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 27; UNIT Opportunity; POSITION [18,8]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 27; UNIT Perseverance; POSITION [12,14]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 28; UNIT Opportunity; POSITION [17,7]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 28; UNIT Perseverance; POSITION [12,13]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 29; UNIT Opportunity; POSITION [17,6]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 29; UNIT Perseverance; POSITION [12,14]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 30; UNIT Opportunity; POSITION [18,5]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 30; UNIT Perseverance; POSITION [12,15]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 31; UNIT Opportunity; POSITION [19,5]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 31; UNIT Perseverance; POSITION [12,14]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 32; UNIT Opportunity; POSITION [19,6]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 32; UNIT Perseverance; POSITION [13,15]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 33; UNIT Opportunity; POSITION [20,6]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 33; UNIT Perseverance; POSITION [13,15]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 34; UNIT Opportunity; POSITION [20,6]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 34; UNIT Perseverance; POSITION [13,15]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 35; UNIT Opportunity; POSITION [21,7]; CURRENT TASK: none;OUTCOME: None yet; DEPOTS: 0; Houses: 0; 
STEP 35; UNIT Perseverance; POSITION [14,15]; CURRENT TASK: none;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 36; UNIT Opportunity; POSITION [20,6]; CURRENT TASK: none;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 36; UNIT Perseverance; POSITION [15,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 37; UNIT Opportunity; POSITION [19,7]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 37; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 38; UNIT Opportunity; POSITION [18,8]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 38; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 39; UNIT Opportunity; POSITION [17,9]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 39; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 40; UNIT Opportunity; POSITION [16,10]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 40; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 41; UNIT Opportunity; POSITION [16,11]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 41; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 42; UNIT Opportunity; POSITION [16,12]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 42; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 43; UNIT Opportunity; POSITION [16,13]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 43; UNIT Perseverance; POSITION [15,15]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 44; UNIT Opportunity; POSITION [16,14]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 44; UNIT Perseverance; POSITION [14,14]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 45; UNIT Opportunity; POSITION [16,15]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 45; UNIT Perseverance; POSITION [13,13]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 46; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 46; UNIT Perseverance; POSITION [12,12]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 47; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 47; UNIT Perseverance; POSITION [11,11]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 48; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 48; UNIT Perseverance; POSITION [10,10]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 49; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 49; UNIT Perseverance; POSITION [9,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 50; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 50; UNIT Perseverance; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 51; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 51; UNIT Perseverance; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 52; UNIT Opportunity; POSITION [15,15]; CURRENT TASK: BUILD_HABIT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0;
STEP 52; UNIT Perseverance; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 53; UNIT Opportunity; POSITION [14,14]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 53; UNIT Perseverance; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 54; UNIT Opportunity; POSITION [13,13]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 0; 
STEP 54; UNIT Perseverance; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 55; UNIT Opportunity; POSITION [12,12]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 55; UNIT Perseverance; POSITION [9,10]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 56; UNIT Opportunity; POSITION [11,11]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 56; UNIT Perseverance; POSITION [10,11]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 57; UNIT Opportunity; POSITION [10,10]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 57; UNIT Perseverance; POSITION [11,12]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 58; UNIT Opportunity; POSITION [9,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 58; UNIT Perseverance; POSITION [12,13]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 59; UNIT Opportunity; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 59; UNIT Perseverance; POSITION [13,14]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 60; UNIT Opportunity; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 60; UNIT Perseverance; POSITION [14,15]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 61; UNIT Opportunity; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 61; UNIT Perseverance; POSITION [15,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 62; UNIT Opportunity; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 62; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 1; 
STEP 63; UNIT Opportunity; POSITION [8,9]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 63; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 64; UNIT Opportunity; POSITION [9,10]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 64; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 65; UNIT Opportunity; POSITION [10,11]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 65; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 66; UNIT Opportunity; POSITION [11,12]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 66; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 67; UNIT Opportunity; POSITION [12,13]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 67; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 68; UNIT Opportunity; POSITION [13,14]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 68; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 69; UNIT Opportunity; POSITION [14,15]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 69; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 70; UNIT Opportunity; POSITION [15,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 70; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 71; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 71; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 72; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 2; 
STEP 72; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: BUILD_HABITAT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 73; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 73; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 74; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 74; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 75; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 75; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 76; UNIT Opportunity; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 76; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 77; UNIT Opportunity; POSITION [15,15]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 77; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 78; UNIT Opportunity; POSITION [14,14]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 78; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 79; UNIT Opportunity; POSITION [13,13]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 79; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 80; UNIT Opportunity; POSITION [12,12]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 80; UNIT Perseverance; POSITION [16,18]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 81; UNIT Opportunity; POSITION [11,11]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 81; UNIT Perseverance; POSITION [16,18]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 82; UNIT Opportunity; POSITION [10,10]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 82; UNIT Perseverance; POSITION [16,18]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 83; UNIT Opportunity; POSITION [9,10]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 0; Houses: 3; 
STEP 83; UNIT Perseverance; POSITION [16,18]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 1; Houses: 3; 
STEP 84; UNIT Opportunity; POSITION [8,10]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 1; Houses: 3; 
STEP 84; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 1; Houses: 3; 
STEP 85; UNIT Opportunity; POSITION [8,10]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 1; Houses: 3; 
STEP 85; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 1; Houses: 3; 
STEP 86; UNIT Opportunity; POSITION [8,10]; CURRENT TASK: BUILD_DEPOT;OUTCOME: COLONIZABLE; DEPOTS: 1; Houses: 3; 
STEP 86; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: COLONIZABLE; DEPOTS: 1; Houses: 3; 
STEP 87; UNIT Opportunity; POSITION [8,10]; CURRENT TASK: BUILD_DEPOT;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 87; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 88; UNIT Opportunity; POSITION [9,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 88; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 89; UNIT Opportunity; POSITION [9,9]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 89; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 90; UNIT Opportunity; POSITION [10,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 90; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: MINE;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 91; UNIT Opportunity; POSITION [9,11]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 91; UNIT Perseverance; POSITION [15,16]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 92; UNIT Opportunity; POSITION [9,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 92; UNIT Perseverance; POSITION [16,17]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 93; UNIT Opportunity; POSITION [9,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 93; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 94; UNIT Opportunity; POSITION [8,10]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
STEP 94; UNIT Perseverance; POSITION [16,16]; CURRENT TASK: none;OUTCOME: READY_FOR_COLONISTS; DEPOTS: 2; Houses: 3; 
