STEP 0; EVENT position; UNIT Opportunity; POSITION [13,11]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 7; EVENT position; UNIT roverlyDope; POSITION [28,28]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 8; EVENT position; UNIT Opportunity; POSITION [9,12]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 8; EVENT position; UNIT roverlyDope; POSITION [29,29]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 9; EVENT position; UNIT Opportunity; POSITION [10,13]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 9; EVENT position; UNIT roverlyDope; POSITION [30,30]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 10; EVENT position; UNIT Opportunity; POSITION [11,14]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 10; EVENT position; UNIT roverlyDope; POSITION [31,31]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 11; EVENT position; UNIT Opportunity; POSITION [12,14]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 11; EVENT position; UNIT roverlyDope; POSITION [32,32]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 12; EVENT position; UNIT Opportunity; POSITION [12,15]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 12; EVENT position; UNIT roverlyDope; POSITION [33,33]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 13; EVENT position; UNIT Opportunity; POSITION [12,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 13; EVENT position; UNIT roverlyDope; POSITION [34,34]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 14; EVENT position; UNIT Opportunity; POSITION [11,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 14; EVENT position; UNIT roverlyDope; POSITION [35,35]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 15; EVENT position; UNIT Opportunity; POSITION [12,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 15; EVENT position; UNIT roverlyDope; POSITION [36,36]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 16; EVENT position; UNIT Opportunity; POSITION [12,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 16; EVENT position; UNIT roverlyDope; POSITION [37,37]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 17; EVENT position; UNIT Opportunity; POSITION [11,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 17; EVENT position; UNIT roverlyDope; POSITION [38,38]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 18; EVENT position; UNIT Opportunity; POSITION [10,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 18; EVENT position; UNIT roverlyDope; POSITION [39,39]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 19; EVENT position; UNIT Opportunity; POSITION [10,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 19; EVENT position; UNIT roverlyDope; POSITION [40,40]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 20; EVENT position; UNIT Opportunity; POSITION [11,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 20; EVENT position; UNIT roverlyDope; POSITION [41,41]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 21; EVENT position; UNIT Opportunity; POSITION [10,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 21; EVENT position; UNIT roverlyDope; POSITION [42,42]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 22; EVENT position; UNIT Opportunity; POSITION [10,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 22; EVENT position; UNIT roverlyDope; POSITION [43,43]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 23; EVENT position; UNIT Opportunity; POSITION [11,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 23; EVENT position; UNIT roverlyDope; POSITION [44,44]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 24; EVENT position; UNIT Opportunity; POSITION [10,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 24; EVENT position; UNIT roverlyDope; POSITION [45,45]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 25; EVENT position; UNIT Opportunity; POSITION [11,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 25; EVENT position; UNIT roverlyDope; POSITION [46,46]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 26; EVENT position; UNIT Opportunity; POSITION [12,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 26; EVENT position; UNIT roverlyDope; POSITION [47,47]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 27; EVENT position; UNIT Opportunity; POSITION [12,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 27; EVENT position; UNIT roverlyDope; POSITION [48,48]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 28; EVENT position; UNIT Opportunity; POSITION [13,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 28; EVENT position; UNIT roverlyDope; POSITION [49,49]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 29; EVENT position; UNIT Opportunity; POSITION [13,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 29; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 30; EVENT position; UNIT Opportunity; POSITION [14,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 30; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 31; EVENT position; UNIT Opportunity; POSITION [13,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 31; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 32; EVENT position; UNIT Opportunity; POSITION [13,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 32; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 33; EVENT position; UNIT Opportunity; POSITION [13,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 33; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 34; EVENT position; UNIT Opportunity; POSITION [14,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 34; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 35; EVENT position; UNIT Opportunity; POSITION [14,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 35; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 36; EVENT position; UNIT Opportunity; POSITION [14,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 36; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 37; EVENT position; UNIT Opportunity; POSITION [15,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 37; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 38; EVENT position; UNIT Opportunity; POSITION [16,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 38; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 39; EVENT position; UNIT Opportunity; POSITION [17,23]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 39; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 40; EVENT position; UNIT Opportunity; POSITION [18,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 40; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 41; EVENT position; UNIT Opportunity; POSITION [18,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 41; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 42; EVENT position; UNIT Opportunity; POSITION [19,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 42; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 43; EVENT position; UNIT Opportunity; POSITION [19,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 43; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 44; EVENT position; UNIT Opportunity; POSITION [19,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 44; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 45; EVENT position; UNIT Opportunity; POSITION [20,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 45; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 46; EVENT position; UNIT Opportunity; POSITION [20,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 46; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 47; EVENT position; UNIT Opportunity; POSITION [20,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 47; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 48; EVENT position; UNIT Opportunity; POSITION [21,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 48; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 49; EVENT position; UNIT Opportunity; POSITION [22,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 49; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 50; EVENT position; UNIT Opportunity; POSITION [21,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 50; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 51; EVENT position; UNIT Opportunity; POSITION [21,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 51; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 52; EVENT position; UNIT Opportunity; POSITION [20,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 52; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 53; EVENT position; UNIT Opportunity; POSITION [21,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 53; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 54; EVENT position; UNIT Opportunity; POSITION [20,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 54; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 55; EVENT position; UNIT Opportunity; POSITION [20,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 55; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 56; EVENT position; UNIT Opportunity; POSITION [21,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 56; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 57; EVENT position; UNIT Opportunity; POSITION [20,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 57; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 58; EVENT position; UNIT Opportunity; POSITION [21,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 58; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 59; EVENT position; UNIT Opportunity; POSITION [21,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 59; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 60; EVENT position; UNIT Opportunity; POSITION [20,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 60; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 61; EVENT position; UNIT Opportunity; POSITION [20,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 61; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 62; EVENT position; UNIT Opportunity; POSITION [20,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 62; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 63; EVENT position; UNIT Opportunity; POSITION [21,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 63; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 64; EVENT position; UNIT Opportunity; POSITION [22,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 64; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 65; EVENT position; UNIT Opportunity; POSITION [22,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 65; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 66; EVENT position; UNIT Opportunity; POSITION [21,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 66; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 67; EVENT position; UNIT Opportunity; POSITION [20,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 67; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 68; EVENT position; UNIT Opportunity; POSITION [21,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 68; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 69; EVENT position; UNIT Opportunity; POSITION [21,15]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 69; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 70; EVENT position; UNIT Opportunity; POSITION [20,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 70; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 71; EVENT position; UNIT Opportunity; POSITION [19,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 71; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 72; EVENT position; UNIT Opportunity; POSITION [19,15]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 72; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 73; EVENT position; UNIT Opportunity; POSITION [19,15]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 73; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 74; EVENT position; UNIT Opportunity; POSITION [19,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 74; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 75; EVENT position; UNIT Opportunity; POSITION [19,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 75; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 76; EVENT position; UNIT Opportunity; POSITION [18,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 76; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 77; EVENT position; UNIT Opportunity; POSITION [18,15]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 77; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 78; EVENT position; UNIT Opportunity; POSITION [18,14]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 78; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 79; EVENT position; UNIT Opportunity; POSITION [18,14]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 79; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 80; EVENT position; UNIT Opportunity; POSITION [18,15]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 80; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 81; EVENT position; UNIT Opportunity; POSITION [17,16]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 81; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 82; EVENT position; UNIT Opportunity; POSITION [16,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 82; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 83; EVENT position; UNIT Opportunity; POSITION [15,17]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 83; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 84; EVENT position; UNIT Opportunity; POSITION [15,18]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 84; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 85; EVENT position; UNIT Opportunity; POSITION [14,19]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 85; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 86; EVENT position; UNIT Opportunity; POSITION [15,20]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 86; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 87; EVENT position; UNIT Opportunity; POSITION [14,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 87; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 88; EVENT position; UNIT Opportunity; POSITION [15,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 88; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 89; EVENT position; UNIT Opportunity; POSITION [14,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 89; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 90; EVENT position; UNIT Opportunity; POSITION [13,23]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 90; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 91; EVENT position; UNIT Opportunity; POSITION [13,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 91; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 92; EVENT position; UNIT Opportunity; POSITION [13,23]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 92; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 93; EVENT position; UNIT Opportunity; POSITION [14,22]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
STEP 93; EVENT position; UNIT roverlyDope; POSITION [50,50]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.TargetedMovementRoutine
STEP 94; EVENT position; UNIT Opportunity; POSITION [14,21]; CURRENT ROUTINE com.codecool.marsexploration.logic.routine.RandomExplorationRoutine
